,author,loyalty_score,FUD_ratio,num_of_messages_normalized,meaningful_msg_ratio
567,crazysalmon,0.0,0.0,0.74,0.14
568,locus101,0.0,0.33,2.36,0.1
569,dewdew,0.0,0.0,0.38,0.14
570,JimLahey,0.0,0.5,0.62,0.13
571,yagga,0.0,0.0,0.37,0.11
572,machine44,0.0,0.0,0.38,0.11
573,Chrundel The Great,0.0,0.0,0.37,0.15
574,aleverkuhn,0.0,0.0,0.5,0.27
575,Boodeukgul,0.0,0.0,0.88,0.06
576,anhvip,0.0,0.03,33.98,0.07
577,ABs,0.0,0.25,2.6,0.14
578,! Alexintosh | PieDAO,0.0,0.14,3.43,0.15
579,bokbunja,0.0,0.0,0.38,0.09
580,CSP,0.0,0.25,10.53,0.13
581,Tej,0.0,0.0,0.37,0.12
582,crow4213,0.0,0.38,2.56,0.14
583,Squid,0.0,0.0,0.44,0.07
584,viper in da House,0.0,0.0,0.42,0.17
585,Yudistira,0.0,0.0,0.36,0.07
586,aqzjl,0.0,0.0,0.75,0.09
587,0x5nm,0.0,0.0,0.41,0.16
588,Chillus,0.0,0.43,7.75,0.16
589,vvvvvv,0.0,0.0,0.37,0.13
590,Deciphersoul,0.0,0.0,0.5,0.24
591,vicious,0.0,0.0,0.4,0.22
592,ethmaximus,0.0,0.0,0.38,0.14
593,Siddharth,0.0,0.0,17.65,0.1
594,ryan_d,0.0,0.0,0.83,0.16
595,Whitekey,0.0,0.0,0.39,0.16
596,aktarus,0.0,0.0,0.38,0.11
597,Sean007,0.0,0.23,5.02,0.13
598,2Fuu,0.0,0.0,0.38,0.14
599,sanchezquizena,0.0,0.0,0.38,0.11
600,chronology,0.0,0.0,0.4,0.18
601,manilong,0.0,0.0,3.49,0.09
602,simonjones,0.0,0.0,0.38,0.09
603,Vrax,0.0,0.0,0.38,0.16
604,crchn,0.0,0.0,6.56,0.15
605,jeth,0.0,0.0,0.81,0.14
606,Abdul Makhkamov,0.0,0.0,0.97,0.17
607,DablibDoibhlin,0.0,0.0,0.39,0.14
608,Thilagavathy,0.0,0.33,1.14,0.15
609,cameronjoseph,0.0,0.0,0.77,0.11
610,jmsm97,0.0,0.0,0.46,0.14
611,water,0.0,0.0,0.4,0.11
612,Whale,0.0,0.0,0.74,0.15
613,sebastiang,0.0,0.0,0.39,0.09
614,adler,0.0,0.0,1.11,0.13
615,Astra,0.0,0.0,0.51,0.09
616,Little Whale🐳,0.0,0.0,0.37,0.07
617,Skippies,0.0,0.0,0.41,0.15
618,liubing,0.0,0.0,0.38,0.0
619,Doctor_286,0.0,0.0,0.7,0.31
620,MGNM,0.0,0.25,1.37,0.12
621,Eray Ergin,0.0,0.0,0.38,0.09
622,ZZL,0.0,0.0,13.87,0.07
623,Eugene aka Ziggy,0.0,0.25,3.56,0.25
624,UnfortuN8,0.0,0.12,2.96,0.12
625,Pablo Crypto Escobar,0.0,0.0,0.42,0.18
626,Vshashank,0.0,0.05,15.94,0.11
627,xSYND PESSIMIST,0.0,0.16,22.79,0.09
628,cryptkeeper,0.0,0.12,2.94,0.12
629,COACH SIRUS,0.0,0.0,1.42,0.09
630,cryptoguy,0.0,0.14,2.66,0.16
631,0xjingo,0.0,0.0,0.42,0.14
632,dba,0.0,0.0,0.47,0.09
633,LUX-Thoughts11,0.0,0.0,0.39,0.07
634,justixx,0.0,0.5,1.29,0.2
635,Nostalgia,0.0,0.14,20.59,0.11
636,Desmond,0.0,0.0,2.67,0.07
637,codingsh,0.0,0.0,1.3,0.09
638,agugo3,0.0,0.22,3.24,0.14
639,Park,0.0,0.17,2.22,0.16
640,elflowo,0.0,0.0,0.78,0.07
641,GGreen,0.0,0.0,0.86,0.14
642,VersaceBlues,0.0,0.45,3.44,0.16
643,SenseiSatoshi,0.0,0.3,3.83,0.14
644,leila,0.0,0.0,0.53,0.09
645,eski92,0.0,0.33,0.95,0.23
646,bernat,0.0,0.12,3.09,0.14
647,seeker1426,0.0,0.2,1.98,0.17
648,El Campesino,0.0,0.0,0.48,0.21
649,ThisIsTheWay,0.0,0.2,8.89,0.15
650,carrymoon,0.0,0.0,2.84,0.09
651,Walter Wolf,0.0,0.0,8.25,0.14
652,ChrisSavadge,0.0,0.2,2.05,0.21
653,iebazhaas,0.0,0.36,12.6,0.13
654,denz1l,0.0,0.0,0.86,0.09
655,Regynald,0.0,0.18,4.21,0.15
656,p7m,0.0,0.21,28.24,0.1
657,zr2z,0.0,0.33,1.15,0.18
658,jeremy-li-crypto-com,0.0,0.17,2.21,0.14
659,boybiryani,0.0,0.0,1.02,0.17
660,AaronJo,0.0,0.17,2.33,0.12
661,HodlHodl,0.0,0.0,0.44,0.19
662,bennet,0.0,0.0,1.67,0.21
663,sshshln,0.0,0.0,3.85,0.25
664,PAU,0.0,0.2,16.91,0.11
665,ShaneTheNinja,0.0,0.14,7.89,0.13
666,mhatillic,0.0,0.14,2.76,0.13
667,vru,0.0,0.14,27.21,0.09
668,sunshinem4,0.0,0.29,2.59,0.17
669,magzestar,0.0,0.25,1.53,0.16
670,zeus_mafiya,0.0,0.0,7.35,0.1
671,!BeOrganic,0.0,0.21,24.0,0.13
672,Professor,0.0,0.06,11.76,0.07
673,Aili20,0.0,0.0,0.88,0.11
674,SSI-007,0.0,0.14,3.08,0.13
675,Araz,0.0,0.0,0.41,0.07
676,Nym Noether,0.0,0.0,0.48,0.14
677,Alex2017,0.0,0.4,1.53,0.15
678,antokar,0.0,0.0,1.3,0.22
679,seba s,0.0,0.16,33.78,0.11
680,Goldiguana,0.0,0.25,1.48,0.19
681,Wrath,0.0,0.24,50.0,0.11
682,midnightmadwalk,0.0,0.0,3.68,0.09
683,azzip,0.0,0.0,3.47,0.07
684,paduckdog,0.0,0.0,2.11,0.11
685,akid,0.0,0.0,2.08,0.11
686,Clayton | UMA,0.0,0.0,0.46,0.11
687,ImSalTea,0.0,0.0,0.48,0.17
688,liubei,0.0,0.0,0.44,0.07
689,chaihua,0.0,0.0,11.76,0.11
690,Auresta,0.0,0.0,0.93,0.11
691,aakansha,0.0,0.0,1.04,0.07
692,Guy5t.eth,0.0,0.0,0.74,0.2
693,fattybones4,0.0,0.0,1.45,0.37
694,SteveMurphy,0.0,0.0,6.16,0.13
695,rudyrong,0.0,0.0,8.45,0.15
696,m̶a̶n̶g̶u̶i̶f̶i̶ xcaea3a3hx,0.0,0.2,1.85,0.15
697,serr,0.0,0.2,4.79,0.11
698,ElijaTom,0.0,0.11,31.36,0.07
699,Alfin,0.0,0.0,20.45,0.07
700,dogang,0.0,0.0,3.68,0.13
701,avaphoenix,0.0,0.14,16.06,0.09
702,Michael7.eth,0.0,0.05,28.68,0.09
703,saikat,0.0,0.0,6.67,0.07
704,crippa23,0.0,0.5,3.89,0.14
705,bobaface,0.0,0.0,12.8,0.12
706,0xKay | MedievalDAO,0.0,0.0,0.8,0.29
707,masong,0.0,0.0,31.94,0.09
708,Anvar,0.0,0.12,4.49,0.16
709,Gura,0.0,0.31,6.13,0.13
710,artur001,0.0,0.0,6.45,0.11
711,daodao,0.0,0.0,2.82,0.17
712,zWar,0.0,0.0,1.29,0.12
713,e.t1443,0.0,0.24,7.62,0.15
714,Ryan.AllPoints,0.0,0.0,0.67,0.24
715,YellowOwl,0.0,0.25,1.55,0.18
716,Bobalicious,0.0,0.14,17.58,0.13
717,Matt | Alfalfa or Spanky?,0.0,0.0,16.9,0.14
718,Tom | think_flexible,0.0,0.0,1.7,0.15
719,yxue,0.0,0.0,1.76,0.16
720,omynameislegendo,0.0,0.08,6.45,0.09
721,Research Pawn,0.0,0.4,1.55,0.11
722,dummyman,0.0,0.0,1.72,0.21
723,gjcrypto | Cryptopets,0.0,0.16,13.97,0.11
724,Adam Acres,0.0,0.33,1.33,0.23
725,Bwitter,0.0,0.0,4.76,0.21
726,iztok105,0.0,0.0,1.25,0.24
727,StormBolter,0.0,0.36,3.42,0.16
728,Hector,0.0,1.0,0.2,0.27
729,0xBoredApe,0.0,0.0,0.65,0.17
730,Nico R | STEPN,0.0,0.0,0.56,0.09
731,Hendrik,0.0,0.09,16.3,0.1
732,TheBatman,0.0,0.0,6.02,0.15
733,charlibaby3,0.0,0.33,0.93,0.09
734,Offs,0.0,0.15,14.13,0.13
735,alex345,0.0,0.29,15.11,0.15
736,kagnar,0.0,0.29,2.72,0.17
737,Herty,0.0,0.0,5.56,0.09
738,Manish_moderator,0.0,0.25,1.61,0.13
739,antkingx,0.0,0.11,6.12,0.18
740,josewales,0.0,0.33,1.06,0.2
741,Tommyn,0.0,0.5,0.62,0.17
742,Quelm,0.0,0.0,4.03,0.14
743,robo,0.0,0.0,0.74,0.23
744,tututu1991,0.0,0.0,4.41,0.12
745,rick,0.0,0.2,1.86,0.09
746,MikeFG,0.0,0.0,1.66,0.15
747,channel,0.0,0.0,3.39,0.15
748,JacksonF,0.0,0.0,12.2,0.09
749,devon,0.0,0.5,2.31,0.2
750,hawk5d,0.0,0.33,1.15,0.15
751,Mr Ducky,0.0,0.0,0.48,0.07
752,Joshua Inam Akrasi,0.0,0.0,10.29,0.09
753,louishlee,0.0,0.25,1.57,0.19
754,dlong8888,0.0,0.0,0.56,0.07
755,Yohaiii,0.0,0.0,9.35,0.13
756,rebel,0.0,0.0,5.88,0.07
757,SCJ,0.0,0.0,0.54,0.14
758,Skyseer,0.0,0.25,7.19,0.14
759,aviator1505,0.0,0.25,6.2,0.13
760,pyrogunx,0.0,0.0,1.64,0.25
761,nagato888,0.0,0.0,15.91,0.09
762,gab,0.0,0.5,1.42,0.07
763,ddlob,0.0,0.0,8.7,0.13
764,khan711,0.0,0.08,17.33,0.11
765,Frans,0.0,0.09,6.15,0.09
766,amirmahdi,0.0,0.0,0.57,0.17
767,larrybob4,0.0,0.09,6.96,0.13
768,MarkRondeau,0.0,0.31,14.81,0.13
769,Accessibility One,0.0,0.0,0.55,0.16
770,user_mina,0.0,0.08,15.66,0.11
771,Lucius,0.0,0.0,1.51,0.13
772,Smith,0.0,0.0,1.45,0.08
773,Pete_Fiberblock.io,0.0,0.0,1.09,0.1
774,jagrmeister,0.0,0.44,3.24,0.13
775,LTC.sol,0.0,0.0,5.8,0.09
776,uwaifo18,0.0,0.06,13.04,0.09
777,ChrisParsons,0.0,0.0,3.12,0.22
778,ThunderdomEp,0.0,0.0,0.57,0.15
779,0x2Ting,0.0,0.0,1.31,0.15
780,Robinn,0.0,0.0,0.73,0.09
781,WilliamLee666,0.0,0.38,3.07,0.18
782,higer,0.0,0.0,5.88,0.1
783,Cryptic,0.0,0.0,0.74,0.09
784,Hyog,0.0,0.0,0.61,0.18
785,Zic Lambo,0.0,0.25,1.57,0.13
786,XfEnE,0.0,0.0,0.79,0.11
787,NNA,0.0,0.0,16.52,0.07
788,Starlin,0.0,0.14,2.51,0.09
789,colbydoesit,0.0,0.07,22.88,0.09
790,Fxtch,0.0,0.0,0.52,0.11
791,Yashg,0.0,0.0,5.15,0.13
792,keero,0.0,0.0,28.74,0.07
793,internationalpaper.bit,0.0,0.0,3.68,0.09
794,DonQuixote II,0.0,0.0,0.65,0.11
795,ircrp,0.0,0.0,2.03,0.18
796,Sulta420,0.0,0.25,1.53,0.14
797,jeanhack,0.0,0.5,0.68,0.16
798,salamita,0.0,0.0,0.85,0.28
799,Alkanphel,0.0,0.33,2.26,0.11
800,KingGhidorah,0.0,0.33,1.14,0.14
801,L3nox_,0.0,0.08,28.92,0.09
802,Mariano - YieldWolf.finance 🐺,0.0,0.25,1.53,0.14
803,BIG OWL (GMT +1),0.0,0.0,0.78,0.14
804,Tracy,0.0,0.0,3.31,0.2
805,Dagr'8,0.0,0.0,7.35,0.13
806,0xC0FFEE,0.0,0.42,4.62,0.14
807,Diven,0.0,0.0,2.21,0.0
808,Caden😍,0.0,0.0,5.93,0.08
809,peaceforlyf,0.0,0.0,3.47,0.09
810,Based_Pleb,0.0,0.0,8.06,0.14
811,Ghost-hand,0.0,0.0,1.47,0.2
812,risk zhang,0.0,0.0,1.59,0.08
813,troyon,0.0,0.0,0.53,0.07
814,Wasi Malik,0.0,0.15,7.34,0.13
815,J R,0.0,0.0,1.86,0.13
816,ceetada,0.0,0.0,2.94,0.08
817,Crypto_Unhashed_123,0.0,0.0,0.68,0.15
818,fanboy37,0.0,0.0,3.12,0.13
819,polacobest,0.0,0.0,4.82,0.15
820,Azdrid,0.0,0.0,2.21,0.11
821,mCoins,0.0,0.5,0.77,0.21
822,ontheway | NFTips,0.0,0.0,4.41,0.23
823,Allin,0.0,0.33,1.26,0.2
824,oz,0.0,0.12,3.04,0.12
825,Dirty Lil Mac,0.0,0.0,1.38,0.18
826,Nicole TruePNL,0.0,0.0,0.88,0.21
827,mamaG,0.0,0.33,4.69,0.19
828,Foopeter,0.0,0.0,2.22,0.09
829,0xEstarriol,0.0,0.0,1.31,0.16
830,lizard,0.0,0.0,0.73,0.09
831,Moni3655,0.0,0.0,11.36,0.09
832,Megain,0.0,0.0,0.56,0.07
833,Sumit,0.0,0.0,0.74,0.19
834,crypto-gal,0.0,0.0,1.29,0.14
835,live2own | Kadena Komodos,0.0,0.0,3.15,0.07
836,JB,0.0,0.0,2.63,0.15
837,Robert_C,0.0,0.0,2.02,0.25
838,Scottonebytwo,0.0,0.06,12.5,0.09
839,沙土上等,0.0,0.0,2.94,0.07
840,cryptokingkongnft,0.0,0.11,8.33,0.1
841,davidic,0.0,0.0,2.92,0.17
842,Mr T,0.0,1.0,0.22,0.21
843,Yeevy,0.0,0.43,2.61,0.14
844,diandian,0.0,0.0,3.68,0.11
845,ChrisEdgeSXE,0.0,1.0,0.24,0.16
846,linmyat,0.0,0.0,6.52,0.14
847,Sushikiller,0.0,0.33,1.14,0.09
848,AxelRose,0.0,0.0,2.29,0.14
849,jdjan,0.0,0.0,2.21,0.13
850,kmaxnxx,0.0,0.0,0.75,0.17
851,MiRey,0.0,0.0,3.39,0.09
852,bizz,0.0,0.0,0.41,0.13
853,stoperfatih,0.0,0.0,1.13,0.08
854,FMF888888,0.0,0.0,19.59,0.07
855,sergiofron,0.0,0.0,1.61,0.16
856,opik,0.0,0.17,13.64,0.1
857,beebeehem,0.0,0.0,3.47,0.09
858,0xNacho,0.0,0.0,0.77,0.16
859,therealbryanho,0.0,0.0,3.05,0.03
860,rhazkid,0.0,0.0,4.41,0.09
861,kidoke62,0.0,0.0,11.54,0.09
862,Sori,0.0,0.0,0.67,0.13
863,sanfenyuanqi,0.0,0.0,17.89,0.07
864,Lamentis,0.0,0.08,9.56,0.09
865,Efrenvz,0.0,0.0,0.72,0.0
866,Snowball,0.0,0.0,2.82,0.1
867,ACB,0.0,0.13,14.42,0.11
868,EB,0.0,0.6,1.81,0.19
869,Jackie*,0.0,0.0,1.35,0.07
870,deli,0.0,0.0,3.77,0.18
871,0x248huds,0.0,0.0,5.36,0.09
872,Ezio,0.0,0.0,2.86,0.24
873,yici2016,0.0,0.0,1.47,0.09
874,Vladimir Samsonov,0.0,0.0,2.56,0.19
875,Obito,0.0,0.0,1.46,0.07
876,GTKUNAL,0.0,0.13,22.63,0.09
877,L.🦆𝔸𝕎𝕆ℝ𝕃𝔻,0.0,0.33,1.09,0.09
878,ronggo,0.0,0.06,11.59,0.11
879,0xSiam,0.0,0.5,2.19,0.17
880,prolaydo,0.0,0.08,9.56,0.09
881,Svetlana,0.0,0.0,0.79,0.09
882,Birostech,0.0,0.0,2.21,0.07
883,CryptoPablo,0.0,0.0,2.9,0.07
884,Nuts,0.0,0.0,2.15,0.17
885,zdodxtsfx,0.0,0.0,6.25,0.09
886,Hollywood_.9,0.0,0.0,2.29,0.11
887,Yoshio,0.0,0.0,0.63,0.07
888,kienbk1910,0.0,0.0,2.27,0.16
889,AT101ET,0.0,0.0,2.14,0.09
890,GodMan,0.0,0.0,2.88,0.07
891,toranagasama,0.0,0.4,1.81,0.12
892,Marzu59,0.0,0.0,0.74,0.13
893,"0xAA(3,🦋 )²",0.0,0.33,1.13,0.09
894,nyrkkes,0.0,0.5,0.92,0.08
895,Luckyhu,0.0,0.0,1.47,0.08
896,whereisroy,0.0,0.0,1.54,0.28
897,helmsley724,0.0,0.0,7.29,0.09
898,Hamidi_Hadad,0.0,0.0,3.45,0.07
899,PaySlab,0.0,0.0,0.74,0.15
900,JuhaniUzumaki,0.0,0.0,0.72,0.11
901,smith John,0.0,0.0,2.7,0.17
902,Lippo,0.0,0.0,5.08,0.09
903,Nifty Ninja,0.0,0.0,11.9,0.09
904,MultiChainMike,0.0,0.0,0.63,0.07
905,motiontrash,0.0,0.0,1.42,0.05
906,casperer,0.0,0.0,2.61,0.07
907,Robb,0.0,0.0,11.11,0.07
908,dodaddy,0.0,0.25,5.76,0.2
909,denthai,0.0,0.0,1.15,0.21
910,charessun,0.0,0.21,10.29,0.1
911,Lawlerbation,0.0,0.0,5.88,0.12
912,Siblack,0.0,0.0,11.63,0.07
913,mrvik0,0.0,0.0,5.15,0.09
914,Gillian,0.0,0.14,4.58,0.09
915,mjavad,0.0,0.0,1.45,0.07
916,TjTheTrader23,0.0,0.0,2.02,0.15
917,jakev,0.0,0.12,5.88,0.12
918,Crypto Bullseye,0.0,0.33,1.23,0.15
919,thisisstupid,0.0,0.0,0.65,0.07
920,mercury939,0.0,0.0,2.21,0.07
921,BlackSheepOfTheUniverse,0.0,0.5,0.8,0.17
922,WL,0.0,0.0,3.09,0.09
923,harvw,0.0,0.21,8.97,0.12
924,beetee,0.0,0.0,3.94,0.09
925,icedlime.eth,0.0,0.0,2.46,0.07
926,MSZY,0.0,0.0,3.68,0.09
927,Ugomma120,0.0,0.0,2.94,0.07
928,onlinetipser,0.0,0.0,1.44,0.13
929,KeepCalm,0.0,0.0,2.16,0.09
930,𝕯𝖔𝖔𝖒 𝕸𝖊𝖙𝖆𝖑𝖋𝖆𝖈𝖊,0.0,0.0,0.68,0.15
931,Rickyyy,0.0,0.11,6.47,0.11
932,subdep,0.0,0.6,1.85,0.21
933,supi607,0.0,0.0,0.75,0.13
934,Kojohn,0.0,0.0,0.74,0.1
935,hksmartmoney,0.0,0.45,6.04,0.14
936,frankthetank | Founder Bricks,0.0,0.0,3.1,0.08
937,CL,0.0,0.0,0.76,0.16
938,Drippy | Beloxxi,0.0,0.07,11.86,0.07
939,Alpha_01,0.0,0.0,0.74,0.14
940,karankinga,0.0,0.0,0.66,0.07
941,1950s.bit,0.0,0.33,1.15,0.14
942,Greder,0.0,0.0,6.25,0.09
943,sulitno,0.0,0.0,1.55,0.14
944,Ace_English,0.0,0.0,2.88,0.08
945,Hatman,0.0,0.0,1.47,0.11
946,raftel1999,0.0,0.0,13.21,0.07
947,bosgezer61,0.0,0.0,0.67,0.07
948,frank_wanks,0.0,0.0,0.78,0.09
949,baizid,0.0,0.0,1.44,0.08
950,Attorney,0.0,0.0,0.79,0.15
951,ming111,0.0,0.0,0.74,0.0
952,jackalpha,0.0,0.0,0.8,0.14
953,victorhe,0.0,0.0,15.48,0.07
954,dinda,0.0,0.0,2.16,0.07
955,Optipunk,0.0,0.0,1.44,0.08
956,FA1SA1,0.0,0.0,2.44,0.07
957,lifeflat42,0.0,0.0,1.44,0.09
958,Ayan998,0.0,0.0,1.44,0.09
959,Joker 🃏,0.0,0.0,2.17,0.07
960,SidikRiau,0.0,0.0,2.88,0.07
961,Rani Hi,0.0,0.0,1.44,0.08
962,jrmbethik,0.0,0.0,1.53,0.09
963,ZappingBL,0.0,0.0,2.21,0.07
964,YY,0.0,0.25,14.71,0.07
965,burhannganu,0.0,0.0,1.44,0.08
966,Jmac,0.0,0.0,0.71,0.09
967,mahfouz,0.0,0.0,0.71,0.09
968,0xhalfy,0.0,0.0,0.79,0.11
969,sadun,0.0,0.0,1.44,0.08
970,Shazam,0.0,0.0,7.32,0.07
971,Billy👾,0.0,0.0,0.87,0.09
972,Kai,0.0,0.0,7.45,0.16
973,luv $CCL,0.0,0.5,0.61,0.12
974,0xartz,0.0,0.0,0.72,0.09
975,MARK JOHN,0.0,0.0,0.72,0.09
976,Sheikh,0.0,0.0,0.72,0.09
977,ayamolasco,0.0,0.0,0.72,0.09
978,Caylin,0.0,0.0,0.72,0.09
979,▫▪,0.0,0.0,0.72,0.09
980,mstt,0.0,0.0,0.72,0.09
981,ahyuhwuh,0.0,0.0,0.72,0.09
982,Mr Bubble,0.0,0.0,1.47,0.07
983,Dyor,0.0,0.0,0.7,0.07
984,Ikaranpal,0.0,0.0,0.74,0.09
985,maxton,0.0,0.0,0.73,0.07
986,eipyae,0.0,0.0,2.16,0.07
987,rock2kdw,0.0,0.0,1.75,0.15
988,arrkarphyo,0.0,0.0,2.17,0.07
989,fergy,0.0,0.0,1.57,0.1
990,Myrname,0.0,0.0,2.21,0.07
991,hollabolla|CYCGO,0.0,0.0,2.15,0.14
992,mia,0.0,0.0,0.74,0.07
993,stormbreaker,0.0,0.4,1.95,0.11
994,MUHAMMET ALİ İÇLİ,0.0,0.0,0.72,0.09
995,DimaS,0.0,0.1,22.83,0.09
996,Dero,0.0,0.4,1.96,0.13
997,SBSINGH,0.0,0.13,21.13,0.11
998,moekyaw,0.0,0.0,2.16,0.07
999,cryptowizard,0.0,0.5,0.62,0.09
1000,Mercy BT,0.0,0.0,1.44,0.07
1001,tomiecisco,0.0,0.0,15.38,0.07
1002,ILHAMMAULANA22,0.0,0.0,6.82,0.09
1003,jake666777,0.0,0.0,1.47,0.07
1004,DaddyOP,0.0,0.0,6.5,0.0
1005,itu2872,0.0,0.5,0.64,0.15
1006,dasector,0.0,0.0,0.74,0.07
1007,tikukyu,0.0,0.0,3.06,0.15
1008,00,0.0,0.31,11.82,0.15
1009,CnAmbassador,0.0,0.0,0.79,0.0
1010,Rajeshjat007,0.0,0.0,0.72,0.07
1011,Nira,0.0,0.0,1.44,0.07
1012,gbengaolaaa,0.0,0.0,0.72,0.09
1013,hungnguyen,0.0,0.0,0.64,0.07
1014,幽幽白鼠,0.0,0.0,2.94,0.08
1015,aruna,0.0,0.0,0.72,0.07
1016,Shahid,0.0,0.0,0.72,0.07
1017,abigail,0.0,0.0,0.72,0.07
1018,kantutbau,0.0,0.0,0.72,0.07
1019,sumonss,0.0,0.0,0.72,0.07
1020,mh7890,0.0,0.0,0.72,0.07
1021,Aisyah aliyah,0.0,0.0,2.26,0.07
1022,Rhea,0.0,0.0,0.72,0.07
1023,phyokhant,0.0,0.0,0.72,0.07
1024,Ranjeet554,0.0,0.0,0.72,0.07
1025,Bo Zin,0.0,0.0,0.73,0.07
1026,davemessiah,0.0,0.0,5.21,0.13
1027,banguhee,0.0,0.0,1.48,0.07
1028,kumquat,0.0,0.0,0.74,0.09
1029,ryazrlft,0.0,0.0,9.09,0.09
1030,Todexx,0.0,0.0,9.09,0.09
1031,donic,0.0,0.0,1.47,0.08
1032,slipper main fact,0.0,0.0,0.73,0.07
1033,Ggaw,0.0,0.0,0.73,0.07
1034,bryan75alin,0.0,0.0,0.73,0.07
1035,alex_tech,0.0,0.0,6.0,0.09
1036,andreaspieri,0.0,0.25,1.96,0.11
1037,Ganiu,0.0,0.0,9.09,0.08
1038,ClubAce,0.0,0.0,9.91,0.07
1039,Airdropsincome53,0.0,0.0,0.73,0.07
1040,doodles,0.0,0.0,6.52,0.09
1041,wangte168,0.0,0.0,0.74,0.07
1042,BillybuddTokyo,0.0,0.4,2.82,0.15
1043,tommyL,0.0,0.0,0.74,0.07
1044,Mahendra,0.0,0.0,0.74,0.07
1045,qlstkalb,0.0,0.0,0.74,0.07
1046,Alpharand Protocol,0.0,0.0,0.74,0.07
1047,yashbhattad2,0.0,0.0,0.74,0.07
1048,Oshancro,0.0,0.0,0.74,0.07
1049,1x1x1,0.0,0.0,0.74,0.07
1050,marou_marou,0.0,0.0,1.63,0.08
1051,Voldemar,0.0,0.0,5.26,0.11
1052,peri,0.0,0.0,6.82,0.07
1053,TazC,0.0,0.0,1.2,0.27
1054,arrasel,0.0,0.0,6.82,0.07
1055,ruzkypazzy🧹,0.0,0.0,1.02,0.18
1056,Jehudah,0.0,0.5,0.77,0.21
1057,kholis ian,0.0,0.0,6.82,0.09
1058,nood,0.0,0.0,9.09,0.08
1059,lilymbh,0.0,0.0,4.55,0.07
1060,苗苗,0.0,0.0,0.74,0.07
1061,beyourself,0.0,0.0,9.09,0.08
1062,tt,0.0,0.0,0.83,0.11
1063,myngoc,0.0,0.0,0.74,0.07
1064,Nidhi,0.0,0.0,7.97,0.09
1065,dayo,0.0,0.0,0.74,0.07
1066,sseth.bit,0.0,0.0,0.75,0.07
1067,Neeraj501,0.0,0.0,0.75,0.07
1068,Shohel,0.0,0.0,9.09,0.08
1069,Minmin2020,0.0,0.0,0.76,0.0
1070,HEBI,0.0,0.0,0.76,0.07
1071,Citylive,0.0,0.0,0.86,0.07
1072,toni001,0.0,0.0,0.74,0.07
1073,UKUKA,0.0,0.0,0.74,0.07
1074,slny06,0.0,0.0,2.04,0.15
1075,Rodoman,0.0,0.5,0.87,0.17
1076,Alejandro Guerrero,0.0,0.0,2.61,0.14
1077,zombie,0.0,0.0,7.37,0.07
1078,Ukay,0.0,0.0,8.89,0.07
1079,alya,0.0,0.0,0.76,0.07
1080,mbundi,0.0,0.0,1.2,0.24
1081,Mukeu,0.0,0.0,0.79,0.07
1082,Z420,0.0,0.0,0.79,0.07
1083,RUDOLF,0.0,0.0,0.79,0.07
1084,speakeer,0.0,0.0,0.79,0.07
1085,Mikhail,0.0,0.0,0.79,0.07
1086,Jedi Knight,0.0,0.0,0.79,0.07
1087,dorsen,0.0,0.0,0.8,0.07
1088,ZQ,0.0,0.0,3.37,0.09
1089,Ethereal,0.0,0.0,3.17,0.07
1090,dante 银海,0.0,0.0,0.79,0.07
1091,taotang,0.0,0.0,0.79,0.07
1092,cryptocat,0.0,0.0,0.79,0.07
1093,Jada,0.0,0.0,1.47,0.08
1094,AntonErmachkov,0.0,0.0,0.79,0.07
1095,Ser -J-,0.0,0.0,0.79,0.07
1096,tatianaermachkova,0.0,0.0,0.79,0.07
1097,Ekaterina Kovaleva,0.0,0.0,0.79,0.07
1098,Vadim Gavrilov,0.0,0.0,0.79,0.07
1099,wenjing520,0.0,0.0,3.61,0.07
1100,ram33,0.0,0.0,2.5,0.07
1101,nakonechnyy,0.0,0.0,0.8,0.07
1102,duongkta,0.0,0.0,0.8,0.07
1103,Sergio💀,0.0,0.0,3.42,0.07
1104,steeq,0.0,0.0,3.17,0.07
1105,Royalfly,0.0,0.0,0.79,0.07
1106,VictoriaV | KurateDAO,0.0,0.0,0.79,0.07
1107,thienphu10,0.0,0.0,0.81,0.07
1108,yiyidong,0.0,0.0,0.88,0.07
1109,Jennybawa,0.0,0.0,0.81,0.07
1110,Ohashi777 |,0.0,0.0,0.9,0.11
1111,9to5,0.0,0.25,1.58,0.12
1112,CoinDogg,0.0,0.0,0.81,0.07
1113,nowitsfair,0.0,0.5,1.62,0.16
1114,Punsiher,0.0,0.0,0.85,0.07
1115,serrf,0.0,0.0,1.08,0.16
1116,Maxwell,0.0,0.0,1.01,0.07
1117,Robcar23,0.0,0.5,0.74,0.18
1118,dr_deadman,0.0,0.0,0.81,0.07
1119,williwhite15,0.0,0.0,1.44,0.08
1120,krfrancisco,0.0,0.0,0.83,0.07
1121,azizimeid,0.0,0.0,0.84,0.07
1122,janet,0.0,0.0,2.97,0.07
1123,Kiran,0.0,0.0,2.53,0.15
1124,the.warrior,0.0,0.0,5.26,0.07
1125,kucerenkot203,0.0,0.0,0.83,0.07
1126,borsht342,0.0,0.0,0.83,0.07
1127,BlockVision,0.0,0.0,0.83,0.07
1128,Trade18,0.0,0.0,0.83,0.07
1129,yesofcourse,0.0,0.0,0.83,0.07
1130,zarikserg7,0.0,0.0,0.83,0.07
1131,giantleap2012,0.0,0.5,1.53,0.15
